嗚呼,ああ,"Ah!;Oh!;Alas!",
預ける,あずける,"to give into custody;to leave (a child) in the care of;to entrust;to deposit",
東,あずま,"east;Eastern Japan",
汗,あせ,"sweat;perspiration",
彼処,あそこ,"1.  (uk) there;over there;that place; 2.  (X) (col) genitals",
遊び,あそび,"playing",
値,あたい,"value;price;cost;worth;merit",
与える,あたえる,"to give;to present;to award",
私,あたし,"I (fem)",
暖かい,あたたかい,"warm;mild;genial",
暖まる,あたたまる,"to warm oneself;to sun oneself;to warm up;to get warm",
暖める,あたためる,"to warm;to heat",
頭,あたま,"head",
新しい,あたらしい,"new",
辺り,あたり,"(in the) neighbourhood;vicinity;nearby",
当たり前,あたりまえ,"usual;common;ordinary;natural;reasonable;obvious",
当たる,あたる,"to be hit;to be successful;to face (confront);to lie (in the direction of);to undertake;to treat;to be equivalent to;to apply to;to be applicable;to be assigned",
他人,あだびと,"another person;unrelated person;outsider;stranger",
彼方此方,あちこち,"here and there",
彼方,あちら,"1.  there;yonder;that",
彼方此方,あちらこちら,"here and there",
悪口,あっこう,"abuse;insult;slander;evil speaking",
圧縮,あっしゅく,"compression;condensation;pressure",
,あっち,"over there",
厚い,あつい,"cordial;kind;warm(hearted);thick;deep",
暑い,あつい,"hot;warm",
熱い,あつい,"hot (thing)",
扱う,あつかう,"to handle;to deal with;to treat",
厚かましい,あつかましい,"impudent;shameless;brazen",
集まり,あつまり,"gathering;meeting;assembly;collection",
集まる,あつまる,"to gather;to collect;to assemble",
集める,あつめる,"to collect;to assemble",
宛名,あてな,"address;direction",
当てはまる,あてはまる,"to apply (a rule)",
当てはめる,あてはめる,"to apply;to adapt",
当てる,あてる,"to hit;to apply a patch",
後,あと,"after;behind;later;rear;remainder;successor",
跡,あと,"trace;tracks;mark;scar;sign;remains;ruins",
後,あと,"after;behind;later;rear;remainder;successor",
穴,あな,"hole",
貴女,あなた,"you;lady",
兄,あに,"older brother",
姉,あね,"older sister",
彼の,あの,"that over there",
暴れる,あばれる,"to act violently;to rage;to struggle;to be riotous",
浴びる,あびる,"to bathe;to bask in the sun;to shower",
溢れる,あふれる,"to flood;to overflow;to brim over",
危ない,あぶない,"dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!",
油,あぶら,"oil",
炙る,あぶる,"to scorch, broil, toast",
甘い,あまい,"generous;indulgent;easy-going;sweet;fond of;soft on;overly optimistic;naive",
雨戸,あまど,"sliding storm door",
甘やかす,あまやかす,"to pamper;to spoil",
余り,あまり,"not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much",
余り,あまり,"not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much",
余る,あまる,"to remain;to be left over;to be in excess;to be too many",
編物,あみもの,"knitting;web",
編む,あむ,"to knit",
雨,あめ,"rain",
飴,あめ,"(hard) candy",
危うい,あやうい,"dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!",
怪しい,あやしい,"suspicious;dubious;doubtful",
誤り,あやまり,"error",
謝る,あやまる,"to apologize",
,あら,"oh;ah;saw-edged perch (Niphon spinosus)",
荒い,あらい,"rough;rude;wild",
粗い,あらい,"coarse;rough",
洗う,あらう,"to wash",
嵐,あらし,"storm;tempest",
粗筋,あらすじ,"outline;summary",
争う,あらそう,"to dispute;to argue;to be at variance;to compete",
新た,あらた,"new;fresh;novel",
改めて,あらためて,"another time;again;over again;anew;formally",
改める,あらためる,"to change;to alter;to reform;to revise",
凡ゆる,あらゆる,"all;every",
表す,あらわす,"to express;to show;to reveal",
現す,あらわす,"to show;to indicate;to display",
著す,あらわす,"to write;to publish",
現われ,あらわれ,"embodiment;materialization",
現われる,あらわれる,"to appear;to come in sight;to become visible;to come out;to embody;to materialize;to express oneself",
有難い,ありがたい,"grateful;thankful",
有難う,ありがとう,"Thank you",
或る,ある,"a certain...;some….",
有る,ある,"to be;to have",
在る,ある,"to live;to be",
或いは,あるいは,"or;possibly",
歩く,あるく,"to walk",
主人,あるじ,"master;head (of a household);landlord;one's husband;employer;host",
,あれ,"1.  that;that thing; 2.  (X) (col) genitals; 3.  menses",
彼此,あれこれ,"one thing or another;this and that;this or that",
荒れる,あれる,"to be stormy;to be rough;to lose one's temper",
泡,あわ,"bubble;foam;froth;head on beer",
合わせる,あわせる,"to join together;to be opposite;to face;to unite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with",
慌ただしい,あわただしい,"busy;hurried;confused;flurried",
慌てる,あわてる,"to become confused (disconcerted  disorganized)",
哀れ,あわれ,"helpless;pathos;pity;sorrow;grief;misery;compassion",
案,あん,"plan;suffix meaning draft",
安易,あんい,"easy-going",
案外,あんがい,"unexpectedly",
暗記,あんき,"memorization;learning by heart",
安心,あんしん,"relief;peace of mind",
安全,あんぜん,"safety;security",
安定,あんてい,"stability;equilibrium",
,あんな,"such;so;that;sort of",
案内,あんない,"information;guidance;leading",
余り,あんまり,"not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much",
胃,い,"stomach",
伊井,いい,"that one;Italy",
否,いいえ,"no;nay;yes;well",
言い出す,いいだす,"to start talking;to speak;to tell;to propose;to suggest;to break the ice",
言い付ける,いいつける,"to tell;to tell on (someone);to order;to charge;to direct",
委員,いいん,"committee member",
言う,いう,"to say",
家,いえ,"house",
家主,いえぬし,"landlord",
以下,いか,"less than;up to;below;under;and downward;not exceeding;the following;the rest",
如何,いかが,"how;in what way",
雷,いかずち,"thunder",
怒る,いかる,"to get angry;to be angry",
以外,いがい,"with the exception of;excepting",
意外,いがい,"unexpected;surprising",
医学,いがく,"medical science;medicine",
息,いき,"breath;tone",
行き,いき,"going",
生き生き,いきいき,"vividly;lively",
勢い,いきおい,"force;vigor;energy;spirit;life;authority;influence;power;might;impetus;course (of events);tendency;necessarily",
行き成り,いきなり,"suddenly",
生き物,いきもの,"living thing;animal",
生きる,いきる,"to live;to exist",
意義,いぎ,"meaning;significance",
,いく,"to come;to orgasm",
行く,いく,"to go",
軍,いくさ,"the army",
戦,いくさ,"war;battle;campaign;fight",
育児,いくじ,"childcare;nursing;upbringing",
幾つ,いくつ,"how many?;how old?",
幾分,いくぶん,"somewhat",
幾ら,いくら,"how much?;how many?",
池,いけ,"pond",
,いけない,"must not do;bad;wrong;not good",
生け花,いけばな,"1.  flower arrangement",
意見,いけん,"opinion;view",
以降,いこう,"on and after;hereafter;thereafter",
以後,いご,"after this;from now on;hereafter;thereafter",20090929
勇ましい,いさましい,"brave;valiant;gallant;courageous",
石,いし,"stone",
医師,いし,"doctor;physician",
意思,いし,"intention;purpose",
意志,いし,"will;volition",
意識,いしき,"consciousness;senses",
医者,いしゃ,"doctor (medical)",
衣食住,いしょくじゅう,"necessities of life (food  clothing  etc.)",
維持,いじ,"maintenance;preservation",
苛める,いじめる,"to tease;to torment;to persecute;to chastise",
以上,いじょう,"more than;exceeding;greater than;this is all;over;above;and up;beyond;the above-mentioned;since;as long as;the end",
異常,いじょう,"strangeness;abnormality;disorder",
意地悪,いじわる,"malicious;ill-tempered;unkind",
椅子,いす,"chair",
泉,いずみ,"spring;fountain",
何れ,いずれ,"where;which;who;anyway;anyhow;at any rate",
以前,いぜん,"ago;since;before;previous",
忙しい,いそがしい,"busy;irritated",
急ぐ,いそぐ,"to hurry;to rush",
板,いた,"board;plank",
痛い,いたい,"painful",
致す,いたす,"to do",
悪戯,いたずら,"tease;prank;trick;practical joke;mischief",
戴きます,いただきます,"expression of gratitude before meals",
頂く,いただく,"to receive;to take food or drink (hum);to be crowned with;to wear;to live under (a ruler);to install (a president);to accept;to buy;to take",
痛み,いたみ,"pain;ache;sore;grief;distress",
痛む,いたむ,"to hurt;to feel a pain;to be injured",
至る,いたる,"to come;to arrive",
偉大,いだい,"greatness",
抱く,いだく,"to embrace;to hug;to harbour;to entertain;`to sleep with'",
一,いち,"(num) one",
位地,いち,"place;situation;position;location",
位置,いち,"place;situation;position;location",
市,いち,"market;fair",
一,いち,"(num) one",
一々,いちいち,"one by one;separately",
一応,いちおう,"once;tentatively;in outline;for the time being",
一言,いちげん,"single word",
一時,いちじ,"one hour;short time;once;a time;temporarily;at one time;twelfth part of a day",
一日,いちじつ,"1.  one day; 2.  first of month",
一定,いちじょう,"fixed;settled;definite;uniform;regularized;defined;standardized;certain;prescribed",
一段と,いちだんと,"greater;more;further;still more",
一度,いちど,"once;one time;on one occasion",
一度に,いちどに,"all at once",
一人,いちにん,"one person",
市場,いちば,"(town) market;marketplace;market",
一番,いちばん,"best;first;number one;a game;a round;a bout;a fall;an event (in a meet)",
一部,いちぶ,"1.  one copy  e.g. of a document; 2.  a part;partly;some",
一流,いちりゅう,"first class;top grade;school (of art);foremost;top-notch;unique",
一家,いっか,"a house;a home;a family;a household;one's family;one's folks;a style",
一昨日,いっさくじつ,"day before yesterday",
一昨年,いっさくねん,"year before last",
一種,いっしゅ,"a species;a kind;a variety",
一瞬,いっしゅん,"a moment;an instant",
一緒,いっしょ,"together;meeting;company",
一生,いっしょう,"whole life;a lifetime;all through life;one existence;a generation;an age;the whole world;the era",
一生懸命,いっしょうけんめい,"very hard;with utmost effort;with all one's might",
一斉,いっせい,"simultaneous;all at once",
一層,いっそう,"much more;still more;all the more",
一体,いったい,"one object;one body;what on earth?;really?;generally",
一旦,いったん,"once;for a moment;one morning;temporarily",
一致,いっち,"coincidence;agreement;union;match;conformity;consistency;co-operation",
一敗,いっぱい,"one defeat",
一般,いっぱん,"general;liberal;universal;ordinary;average",
一方,いっぽう,"on the other hand;one side;one way;a quarter;one direction;one party;the other party;meanwhile;only;simple;in turn",
何時,いつ,"when;how soon",
五日,いつか,"five days;the fifth day (of the month)",
何時か,いつか,"sometime;someday;one day;some time or other;the other day;in due course;in time",
五つ,いつつ,"five",
何時でも,いつでも,"(at) any time;always;at all times;never (neg);whenever",
何時の間にか,いつのまにか,"before one knows;unnoticed;unawares",
何時までも,いつまでも,"forever;for good;eternally;as long as one likes;indefinitely",
何時も,いつも,"always;usually;every time;never (with neg. verb)",
移転,いてん,"moving;transfer;demise",
糸,いと,"thread;yarn;string",
従兄弟,いとこ,"cousin",
従姉妹,いとこ,"cousin (female)",
暇,いとま,"free time;leisure;leave;spare time;farewell",
井戸,いど,"water well",
緯度,いど,"latitude (nav.)",
移動,いどう,"removal;migration;movement",
以内,いない,"within;inside of;less than",
田舎,いなか,"rural;not particularly urban;countryside;suburb",
古,いにしえ,"antiquity;ancient times",
犬,いぬ,"dog",
稲,いね,"rice-plant",
居眠り,いねむり,"dozing;nodding off",
命,いのち,"(mortal) life",
祈る,いのる,"to pray;to wish",
違反,いはん,"violation (of law);transgression;infringement;breach",
威張る,いばる,"to be proud;to swagger",
衣服,いふく,"clothes",
今,いま,"now;the present time;just now;soon;immediately;(one) more",
居間,いま,"living room (western style)",
今,いま,"now;the present time;just now;soon;immediately;(one) more",
今に,いまに,"before long;even now",
今にも,いまにも,"at any time;soon",
意味,いみ,"meaning;significance",
妹,いもうと,"younger sister",
嫌,いや,"disagreeable;detestable;unpleasant;reluctant",
嫌がる,いやがる,"to hate;to dislike",
愈々,いよいよ,"more and more;all the more;increasingly;at last;beyond doubt",
以来,いらい,"since;henceforth",
依頼,いらい,"request;commission;dispatch;dependence;trust",
苛々,いらいら,"getting nervous;irritation",
,いらっしゃる,"to be;to come;to go",
入口,いりくち,"entrance;gate;approach;mouth",
医療,いりょう,"medical care;medical treatment",
居る,いる,"to be (animate);to exist",
要る,いる,"to need",
居る,いる,"to be (animate);to exist",
入る,いる,"to get in;to go in;to come in;to flow into;to set;to set in",
煎る,いる,"to parch;to fry;to fire;to broil;to roast;to boil down (in oil)",
居る,いる,"to be (animate);to exist",
入れ物,いれもの,"container;case;receptacle",
入れる,いれる,"to put in;to take in;to bring in;to let in;to admit;to introduce;to commit (to prison);to usher in;to insert;to set (jewels);to employ;to listen to;to tolerate;to comprehend;to include;to pay (interest);to cast (votes)",
色,いろ,"colour",
色々,いろいろ,"various",
岩,いわ,"rock;crag",
祝い,いわい,"celebration;festival",
祝う,いわう,"to congratulate;to celebrate",
言わば,いわば,"so to speak",
所謂,いわゆる,"the so-called;so to speak",
印,いん,"seal;stamp;mark;print",
員,いん,"member",
印刷,いんさつ,"printing",
印象,いんしょう,"impression",
引退,いんたい,"retire",
引用,いんよう,"quotation;citation",
引力,いんりょく,"gravity",
上,うえ,"above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)",
植木,うえき,"garden shrubs;trees;potted plant",
上下,うえした,"high and low;up and down;unloading and loading;praising and blaming",
植える,うえる,"to plant;to grow",
飢える,うえる,"to starve",
魚,うお,"fish",
伺う,うかがう,"to visit;to ask;to inquire;to hear;to be told;to implore (a god for an oracle)",
浮かぶ,うかぶ,"to float;to rise to surface;to come to mind",
浮かべる,うかべる,"to float;to express;to look (sad  glad)",
含嗽,うがい,"gargle;rinse mouth",
浮く,うく,"to float;to become merry;to become loose",
承る,うけたまわる,"to hear;to be told;to know",
受付,うけつけ,"receipt;acceptance;reception (desk);information desk",
受け取り,うけとり,"receipt",
受け取る,うけとる,"to receive;to get;to accept;to take;to interpret;to understand",
受け持つ,うけもつ,"to take (be in) charge of",
受ける,うける,"to undertake;to accept;to take (lesson  test  damage);to undergo;to experience;to catch (e.g. a ball);to become popular",
動かす,うごかす,"to move;to shift;to set in motion;to operate;to inspire;to rouse;to influence;to mobilize;to deny;to change",
動く,うごく,"to move;to stir;to shift;to shake;to swing;to operate;to run;to go;to work;to be touched;to be influenced;to waver;to fluctuate;to vary;to change;to be transferred",
兎,うさぎ,"rabbit;hare;cony",
牛,うし,"cattle;cow",
失う,うしなう,"to lose;to part with",
氏,うじ,"family name",
薄い,うすい,"thin;weak;watery;diluted",
薄暗い,うすぐらい,"dim;gloomy",
薄める,うすめる,"to dilute;to water down",
埋める,うずめる,"to bury (e.g. one's face in hands)",
嘘,うそ,"lie;falsehood;incorrect fact;inappropriate",
歌,うた,"song;poetry",
歌う,うたう,"to sing",
疑う,うたがう,"to doubt;to distrust;to be suspicious of;to suspect",
内,うち,"inside",
打ち合わせ,うちあわせ,"business meeting;previous arrangement;appointment",
打ち合わせる,うちあわせる,"to knock together;to arrange",
打ち消す,うちけす,"to deny;to negate;to contradict",
宇宙,うちゅう,"universe;cosmos;space",
,うっかり,"carelessly;thoughtlessly;inadvertently",
訴える,うったえる,"to sue (a person);to resort to;to appeal to",
打つ,うつ,"to hit;to strike",
討つ,うつ,"to attack;to avenge",
撃つ,うつ,"to attack;to defeat;to destroy",
美しい,うつくしい,"beautiful;lovely",
移す,うつす,"to remove;to transfer;to infect",
写す,うつす,"to film;to transcribe;to duplicate;to reproduce;to trace;to describe;to picture;to photograph;to imitate",
映す,うつす,"to project;to reflect;to cast (shadow)",
移る,うつる,"to move (house);to be infected;to be contagious;to transfer (department)",
写る,うつる,"to be photographed;to be projected",
映る,うつる,"to be reflected;to harmonize with;to come out (photo)",
器,うつわ,"bowl;vessel;container",
腕,うで,"arm",
饂飩,うどん,"noodles (Japanese)",
頷く,うなずく,"to nod;to bow one's head in assent",
唸る,うなる,"to groan;to moan;to roar;to howl;to growl;to hum;to buzz;to sough",
奪う,うばう,"to snatch away",
馬,うま,"1.  horse; 2.  promoted bishop (shogi)",
甘い,うまい,"delicious",
生まれ,うまれ,"birth;birth-place",
生まれる,うまれる,"to be born",
海,うみ,"sea;beach",
有無,うむ,"yes or no;existence;flag indicator (comp);presence or absence marker",
梅,うめ,"plum;plum-tree;lowest (of a three-tier ranking system)",
敬う,うやまう,"to show respect;to honour",
裏,うら,"reverse side;wrong side;back;undersurface;inside;palm;sole;opposite;rear;lining;last half (of an inning)",
末,うら,"top end;tip",
裏返す,うらがえす,"to turn inside out;to turn the other way;to turn (something) over",
裏切る,うらぎる,"to betray;to turn traitor to;to double-cross",
裏口,うらぐち,"backdoor;rear entrance",
占う,うらなう,"to forecast;to predict",
恨み,うらみ,"resentment",
恨む,うらむ,"to curse;to feel bitter",
羨ましい,うらやましい,"envious;enviable",
羨む,うらやむ,"to envy",
売上,うりあげ,"amount sold;proceeds",
売り切れ,うりきれ,"sold-out",
売り切れる,うりきれる,"to be sold out",
売り場,うりば,"place where things are sold;salesfloor;counter (in shop)",
売る,うる,"to sell",
得る,うる,"to obtain;to acquire",
五月蝿い,うるさい,"noisy;loud;fussy",
嬉しい,うれしい,"happy;glad;pleasant",
売れ行き,うれゆき,"sales",
売れる,うれる,"to be sold",
,うろうろ,"loiteringly;aimless wandering",
上着,うわぎ,"coat;tunic;jacket;outer garment",
噂,うわさ,"rumour;report;gossip;common talk",
上手,うわて,"1.  upper part;upper stream;left side (of a stage); 2.  skillful (only in comparisons);dexterity (only in comparisons)",
植わる,うわる,"to be planted",
運,うん,"fortune;luck",
運河,うんが,"canal;waterway",
運転,うんてん,"operation;motion;driving",
運動,うんどう,"motion;exercise",
絵,え,"picture;drawing;painting;sketch",
会,え,"understanding",
柄,え,"handle;grip",
重,え,"-fold;-ply",
永遠,えいえん,"eternity;perpetuity;immortality;permanence",
映画,えいが,"movie;film",
永久,えいきゅう,"eternity;perpetuity;immortality",
影響,えいきょう,"influence;effect",
営業,えいぎょう,"business;trade;management",
英語,えいご,"the English language",
衛生,えいせい,"health;hygiene;sanitation;medical",
英文,えいぶん,"sentence in English",
栄養,えいよう,"nutrition;nourishment",
英和,えいわ,"English-Japanese (e.g. dictionary)",
,ええ,"yes",
,ええと,"let me see;well;er....",
笑顔,えがお,"smiling face",
描く,えがく,"to draw;to paint;to sketch;to depict;to describe",
駅,えき,"station",
役,えき,"war;campaign;battle",
液体,えきたい,"liquid;fluid",
餌,えさ,"feed;bait",
枝,えだ,"branch;bow;twig;limb",
絵の具,えのぐ,"colors;paints",
偉い,えらい,"great;celebrated;eminent;terrible;awful;famous;remarkable;excellent",
選ぶ,えらぶ,"to choose;to select",
円,えん,"Yen;circle",
塩,えん,"salt",
艶,えん,"charming;fascinating;voluptuous",
縁,えん,"chance;fate;destiny;relation;bonds;connection;karma",
円,えん,"Yen;circle",
園,えん,"garden (esp. man-made)",
宴会,えんかい,"party;banquet",
延期,えんき,"postponement;adjournment",
演技,えんぎ,"acting;performance",
園芸,えんげい,"horticulture;gardening",
演劇,えんげき,"play (theatrical)",
円周,えんしゅう,"circumference",
演習,えんしゅう,"practice;exercises;manoeuvers",
援助,えんじょ,"assistance;aid;support",
演説,えんぜつ,"speech;address",
演奏,えんそう,"musical performance",
遠足,えんそく,"trip;hike;picnic",
延長,えんちょう,"extension;elongation;prolongation;lengthening",
煙突,えんとつ,"chimney",
遠慮,えんりょ,"diffidence;restraint;reserve",
於,お,"at;in;on",
甥,おい,"nephew",
追い掛ける,おいかける,"to chase or run after someone;to run down;to pursue",
追い越す,おいこす,"to pass (e.g. car);to outdistance;to outstrip",
美味しい,おいしい,"delicious;tasty",
追い付く,おいつく,"to overtake;to catch up (with)",
お出でになる,おいでになる,"to be",
王,おう,"1.  king;ruler;sovereign;monarch; 2.  king (for senior player) (shogi)",
追う,おう,"to chase;to run after",
応援,おうえん,"aid;assistance;help;reinforcement;rooting;barracking;support;cheering",
王様,おうさま,"king",
黄色,おうしょく,"yellow",
王子,おうじ,"prince",
王女,おうじょ,"princess",
応じる,おうじる,"to respond;to satisfy;to accept;to comply with;to apply for",
応ずる,おうずる,"to answer;to respond;to meet;to satisfy;to accept",
応接,おうせつ,"reception",
応対,おうたい,"receiving;dealing with",
横断,おうだん,"crossing",
往復,おうふく,"round trip;coming and going;return ticket",
欧米,おうべい,"Europe and America;the West",
応用,おうよう,"application;put to practical use",
終える,おえる,"to finish",
多い,おおい,"many;numerous",
大いに,おおいに,"very;much;greatly",
覆う,おおう,"to cover;to hide;to conceal;to wrap;to disguise",
大きい,おおきい,"big;large;great",
大事,おおごと,"important;valuable;serious matter",
大ざっぱ,おおざっぱ,"rough (as in not precise);broad;sketchy",
大通り,おおどおり,"main street",
大家,おおや,"landlord;landlady",
大凡,おおよそ,"about;roughly;as a rule;approximately",
丘,おか,"hill;height;knoll;rising ground",
お母さん,おかあさん,"mother",
お蔭,おかげ,"(your) backing;assistance",
お蔭様で,おかげさまで,"Thanks to god;thanks to you",
可笑しい,おかしい,"strange;funny;amusing;ridiculous",
お菜,おかず,"side dish;accompaniment for rice dishes",
お構いなく,おかまいなく,"please don't fuss over me",
お代わり,おかわり,"second helping;another cup",
拝む,おがむ,"to worship;to beg;to make a supplication",
沖,おき,"open sea",
起きる,おきる,"to get up;to rise",
補う,おぎなう,"to compensate for",
奥,おく,"interior;inner part",
置く,おく,"to put;to place",
億,おく,"(num) 100 000 000;hundred million",
屋外,おくがい,"outdoors",
奥さん,おくさん,"wife;your wife;his wife;married lady;madam",
屋上,おくじょう,"rooftop",
送り仮名,おくりがな,"part of word written in kana",
贈り物,おくりもの,"present;gift",
送る,おくる,"to send (a thing);to dispatch;to take or escort (a person somewhere);to see off (a person);to spend a period of time;to live a life",
贈る,おくる,"to send;to give to;to award to;to confer on",
遅れる,おくれる,"to be late;to be delayed;to fall behind schedule",
お子さん,おこさん,"(someone else's) child",
起こす,おこす,"to raise;to cause;to wake someone",
怠る,おこたる,"to neglect;to be off guard;to be feeling better",
行う,おこなう,"to perform;to do;to conduct oneself;to carry out",
起こる,おこる,"to occur;to happen",
長,おさ,"chief;head",
押さえる,おさえる,"to stop;to restrain;to seize;to repress;to suppress;to press down",
お先に,おさきに,"before;ahead;previously",
幼い,おさない,"very young;childish",
収める,おさめる,"to obtain;to reap;to pay;to supply;to accept",
納める,おさめる,"to obtain;to reap;to pay;to supply;to accept",
治める,おさめる,"to govern;to manage;to subdue",
惜しい,おしい,"regrettable;disappointing;precious",
押し入れ,おしいれ,"closet",
教える,おしえる,"to teach;to inform;to instruct",
お喋り,おしゃべり,"chattering;talk;idle talk;chat;chitchat;gossip;chatty;talkative;chatterbox;blabbermouth",
お洒落,おしゃれ,"smartly dressed;someone smartly dressed;fashion-conscious",
伯父,おじ,"uncle (older than one's parent)",
お祖父さん,おじいさん,"grandfather;male senior-citizen",
御辞儀,おじぎ,"bow",
伯父さん,おじさん,"middle-aged gentleman;uncle",
お邪魔します,おじゃまします,"Excuse me for disturbing (interrupting) you",
お嬢さん,おじょうさん,"daughter",
押す,おす,"to push;to press;to stamp (i.e. a passport)",
汚染,おせん,"pollution;contamination",
遅い,おそい,"late;slow",
恐らく,おそらく,"perhaps",
恐れる,おそれる,"to fear;to be afraid of",
恐ろしい,おそろしい,"terrible;dreadful",
教わる,おそわる,"to be taught",
お大事に,おだいじに,"Take care of yourself",
穏やか,おだやか,"calm;gentle;quiet",
落ち着く,おちつく,"to calm down;to settle down;to be steady;to settle in;to take up one's residence;to harmonize with;to match;to restore presence of mind",
落ちる,おちる,"to fail (e.g. exam);to fall down;to drop",
仰っしゃる,おっしゃる,"to say;to speak;to tell;to talk",
夫,おっと,"(my) husband",
御手洗い,おてあらい,"toilet;restroom;lavatory;bathroom (US)",
お手伝いさん,おてつだいさん,"maid",
音,おと,"sound;note",
弟,おと,"younger brother",
お父さん,おとうさん,"father",
男,おとこ,"man",
男の人,おとこのひと,"man",
落し物,おとしもの,"lost property",
落とす,おとす,"to drop;to lose;to let fall",
一昨日,おととい,"day before yesterday",
一昨年,おととし,"year before last",
大人,おとな,"adult",
大人しい,おとなしい,"obedient;docile;quiet",
少女,おとめ,"daughter;young lady;virgin;maiden;little girl",
劣る,おとる,"to fall behind;to be inferior to",
脅かす,おどかす,"to threaten;to coerce",
踊り,おどり,"dance",
踊る,おどる,"to dance",
驚かす,おどろかす,"to surprise;to frighten;to create a stir",
驚く,おどろく,"to be surprised",
お腹,おなか,"stomach",
女子,おなご,"woman;girl",
同じ,おなじ,"same;identical;equal;uniform;equivalent;similar;common (origin);changeless",
鬼,おに,"ogre;demon;""it"" (i.e.  in a game of tag)",
お兄さん,おにいさん,"older brother;(vocative) ""Mister?""",
お姉さん,おねえさん,"older sister;(vocative) ""Miss?""",
お願いします,おねがいします,"please",
各々,おのおの,"each;every;either;respectively;severally",
各,おのおの,"each;every;either;respectively;severally",
お早う,おはよう,"Good morning",
伯母,おば,"aunt(older than one's parent)",
お祖母さん,おばあさん,"grandmother;female senior-citizen",
伯母さん,おばさん,"aunt",
お昼,おひる,"lunch;noon",
帯,おび,"obi (kimono sash)",
覚える,おぼえる,"to remember;to memorize",
溺れる,おぼれる,"to be drowned;to indulge in",
お参り,おまいり,"worship;shrine visit",
お待ち遠様,おまちどおさま,"I'm sorry to have kept you waiting",
お巡りさん,おまわりさん,"policeman (friendly term)",
お目出度う,おめでとう,"(ateji) (int) (uk) Congratulations!;an auspicious occasion!",
面,おも,"face",
重い,おもい,"heavy;massive;serious;important;severe;oppressed",
思い掛けない,おもいがけない,"unexpected;casual",
